	No FA, learned weights	No annihilation, learned weights	No annihilation, weights = betas	Annihilator mode, learned weights
Birth Weight	Z = -6.32; PIP = 0.205	Z = -6.32; PIP = 0.209	Z = -5.20; PIP = 0.113	Z = -1.65; PIP = 0.068
Body Mass Index	Z = 3.60; PIP = 0.483	Z = 3.60; PIP = 0.368	Z = 5.82; PIP = 0.196	Z = -3.02; PIP = 0.336
HDL	Z = -11.4; PIP = 0.281	Z = -11.4; PIP = 0.327	Z = -8.47; PIP = 0.040	Z = -8.49; PIP = 0.219
LDL	Z = 21.6; PIP = 1.0; CS_idx=3	Z = 21.6; PIP = 1.0; CS_idx=3	Z = 10.8; PIP = 0.999; CS_idx=16	Z = 20.5; PIP = 0.499
Triglycerides	Z = 13.0; PIP = 1.0; CS_idx=6	Z = 13.0; PIP = 0.999; CS_idx=6	Z = 9.20; PIP = 0.029	Z = 8.46; PIP = 0.536
Height	Z = -5.98; PIP = 0.403	Z = -5.98; PIP = 0.383	Z = -4.96; PIP = 0.304	Z = -3.31; PIP = 0.308
Body Fat	Z = -0.053; PIP = 0.115	Z = -0.053; PIP = 0.088	Z = 3.46; PIP = 0.06	Z = 0.693; PIP = 0.028
Fasting Glucose	Z = 5.12; PIP = 0.238	Z = 5.12; PIP = 0.220	Z = 3.70; PIP = 0.031	Z = 1.73; PIP = 0.096
Systolic blood pressure	Z = 36.9; PIP = 1.0; CS_idx=1	Z = 36.9; PIP = 1.0; CS_idx=1	Z = 28.4; PIP = 0.027	Z = 0.986; PIP = 0.048
Diastolic blood pressure	Z = 32.1; PIP = 0.476	Z = 32.1; PIP = 0.470	Z = 23.3; PIP = 1.0; CS_idx=11	Z = -3.37; PIP = 0.543
Smoking	Z = 9.16; PIP = 1.0; CS_idx=5	Z = 9.16; PIP = 0.999; CS_idx=5	Z = 10.1; PIP = 0.999; CS_idx=2	Z = 2.79; PIP = 0.486
Alcohol	Z = 2.68; PIP = 0.042	Z = 2.68; PIP = 0.062	Z = -0.068; PIP = 0.225	Z = 2.94; PIP = 0.072
Acetate	Z = -4.37; PIP = 0.477	Z = -4.37; PIP = 0.481	Z = -6.16; PIP = 0.432	Z = -2.41; PIP = 0.208
Acetone	Z = -2.06; PIP = 0.067	Z = -2.06; PIP = 0.099	Z = -2.95; PIP = 0.032	Z = -1.40; PIP = 0.032
Alanine	Z = 1.44; PIP = 0.042	Z = 1.44; PIP = 0.054	Z = 2.92; PIP = 0.055	Z = 1.25; PIP = 0.063
Albumin	Z = -4.04; PIP = 0.667	Z = -4.04; PIP = 0.469	Z = -4.29; PIP = 0.045	Z = 0.374; PIP = 0.036
Apolipoprotein B	Z = 14.8; PIP = 0.047	Z = 14.8; PIP = 0.048	Z = -3.24; PIP = 0.081	Z = 20.8; PIP = 0.999; CS_idx=2
bOHbutyrate	Z = 3.3; PIP = 0.049	Z = 3.3; PIP = 0.052	Z = 0.786; PIP = 0.175	Z = 1.51; PIP = 0.078
Citrate	Z = -2.13; PIP = 0.053	Z = -2.13; PIP = 0.048	Z = -1.65; PIP = 0.041	Z = -0.050; PIP = 0.030
Creatinine	Z = 2.81; PIP = 0.106	Z = 2.81; PIP = 0.143	Z = 6.54; PIP = 0.637	Z = 4.66; PIP = 0.029
Glutamine	Z = 0.716; PIP = 0.246	Z = 0.716; PIP = 0.403	Z = -2.94; PIP = 0.029	Z = 2.11; PIP = 0.194
Glucose	Z = 7.6; PIP = 0.681	Z = 7.6; PIP = 0.662	Z = 5.04; PIP = 0.027	Z = 3.32; PIP = 0.435
Glycine	Z = -5.12; PIP = 0.321	Z = -5.12; PIP = 0.238	Z = -8.05; PIP = 0.585	Z = -2.35; PIP = 0.130
Glycoprotein Acetylation	Z = 2.93; PIP = 0.101	Z = 2.93; PIP = 0.123	Z = 8.79; PIP = 1.0; CS_idx=7	Z = 4.27; PIP = 0.375
Histidine	Z = -1.49; PIP = 0.070	Z = -1.49; PIP = 0.054	Z = -1.28; PIP = 0.068	Z = -1.63; PIP = 0.074
Isoleucine	Z = 3.41; PIP = 0.103	Z = 3.41; PIP = 0.052	Z = 7.0; PIP = 0.027	Z = 1.72; PIP = 0.129
Lactate	Z = 3.2; PIP = 0.271	Z = 3.2; PIP = 0.402	Z = 2.72; PIP = 0.223	Z = 0.983; PIP = 0.088
Leucine	Z = 1.6; PIP = 0.060	Z = 1.6; PIP = 0.048	Z = 6.85; PIP = 0.027	Z = 0.853; PIP = 0.029
Phenylalanine	Z = 1.94; PIP = 0.095	Z = 1.94; PIP = 0.068	Z = 5.88; PIP = 0.029	Z = 2.50; PIP = 0.078
Polyunsaturated Fatty Acids	Z = 3.61; PIP = 0.381	Z = 3.61; PIP = 0.226	Z = -5.86; PIP = 0.034	Z = 11.5; PIP = 0.029
Pyruvate	Z = -0.009; PIP = 0.048	Z = -0.009; PIP = 0.049	Z = 1.19; PIP = 0.028	Z = -0.130; PIP = 0.028
Tyrosine	Z = 0.704; PIP = 0.041	Z = 0.704; PIP = 0.062	Z = 3.90; PIP = 0.263	Z = 0.304; PIP = 0.032
Valine	Z = 2.65; PIP = 0.086	Z = 2.65; PIP = 0.051	Z = 6.72; PIP = 0.029	Z = -0.287; PIP = 0.064
Factor1	N/A	Z = -12.6; PIP = 0.358	Z = -33.2; PIP = 1.0; CS_idx=1	Z = 2.63; PIP = 0.305
Factor2	N/A	Z = 4.37; PIP = 0.537	Z = 5.87; PIP = 0.028	Z = 0.550; PIP = 0.041
Factor3	N/A	Z = -7.14; PIP = 0.999; CS_idx=9	Z = -9.83; PIP = 1.0; CS_idx=4	Z = 0.861; PIP = 0.086
Factor4	N/A	Z = -6.99; PIP = 0.778	Z = -9.0; PIP = 0.231	Z = 0.491; PIP = 0.028
Factor5	N/A	Z = -1.89; PIP = 0.159	Z = -4.41; PIP = 0.601	Z = 1.86; PIP = 0.148
Factor6	N/A	Z = -7.08; PIP = 0.999; CS_idx=8	Z = -8.30; PIP = 0.503	Z = -0.590; PIP = 0.047
Factor7	N/A	Z = 4.65; PIP = 0.474	Z = 8.89; PIP = 0.999; CS_idx=8	Z = -2.75; PIP = 0.178
Factor8	N/A	Z = 7.78; PIP = 0.594	Z = 8.03; PIP = 0.040	Z = 0.192; PIP = 0.028