Exposure	Outcome	famr_none	famr_gfa	susie.ss	mrash.ss	susie.ss_gfa	mrash.ss_gfa	ivw	robust	ivw_gfa	robust_gfa	ivw.univar
Birth Weight (BW)	Coronary Artery Disease (CAD)	0.204699545037888	0.113272265782531	0.654272171542929	0.871112902067908	0.562108870528062	0.766899233972452	0.870454151440433	0.777655899327605	0.895162276702085	0.751224844019508	0.864110297536066
Body Mass Index	Coronary Artery Disease (CAD)	0.483128792363331	0.196073285471164	0.998147440749652	0.999549844348184	0.813371467755363	0.999387569333469	0.952155612814667	0.991012354640576	0.95908848294229	0.937951298212766	0.9999999454357
High Density Lipoprotein (HDL)	Coronary Artery Disease (CAD)	0.281357814786619	0.0396078717082817	0.65734754744603	0.659538691703677	0.619301814217768	0.433206253790383	0.996916295011179	0.997390987257424	0.99985317842708	0.969486564664104	0.9996809816236
Low Density Lipoprotein (LDL)	Coronary Artery Disease (CAD)	1	0.999982170713081	1	1	0.999999999999999	1	1	0.999978779354414	1	0.999969103898809	1
Triglycerides	Coronary Artery Disease (CAD)	0.999999999870552	0.0287045582605499	0.780826010564387	0.99280408544204	0.727906726381073	0.997570456249966	0.979936896387263	0.902032356538481	0.996854982777837	0.867472207679769	0.999999999740587
Height	Coronary Artery Disease (CAD)	0.403174436421736	0.304479107393358	0.717134140961935	0.949667239604213	0.677935384221415	0.916089389970169	0.987428231731028	0.99153769822579	0.993440339713624	0.985990718511756	0.999985487474679
Body Fat	Coronary Artery Disease (CAD)	0.115239299267826	0.0554337490120913	0.551323535805041	0.603991469840905	0.541965528482211	0.496549203869672	0.638740828497173	0.855792907081458	0.755181127046788	0.76331464505481	0.109888144369124
Fasting Glucose	Coronary Artery Disease (CAD)	0.238252156451453	0.0307046491640995	0.434389922915833	0.341247809816228	0.362740298345028	0.199647705823448	0.471536093421105	0.420865206051613	0.633796025580487	0.276609097150567	0.864110297536066
Systolic Blood Pressure	Coronary Artery Disease (CAD)	1	0.0270908558791975	1	1	0.997859433092516	1	1	1	0.999999999995206	0.999999911972107	1
Diastolic Blood Pressure	Coronary Artery Disease (CAD)	0.475968156444895	1	0.395621961100247	0.0466560116813769	0.325998437689971	0.0255202473655447	0.308665648774049	0.66085427208788	0.999995778400045	0.999943459985424	1
Smoking	Coronary Artery Disease (CAD)	0.999999999999998	0.99999998903951	0.999999999999995	1	0.999999940362344	0.999999999999999	1	1	0.999999647392955	0.999999911972107	0.999999289594249
Alcohol	Coronary Artery Disease (CAD)	0.0418575883663734	0.225022838844542	0.56478006811359	0.771447640448765	0.509856146179098	0.639842994869752	0.971773781256353	0.997390987257424	0.99774198480931	0.995029230250152	0.307346434171527
Acetate	Coronary Artery Disease (CAD)	0.47699700426482	0.432083766328996	0.778311747688398	0.99288938049653	0.723230300792872	0.992044735401762	0.973709981432727	0.957350607851955	0.990577469212517	0.937029175442629	0.864110297536066
Acetone	Coronary Artery Disease (CAD)	0.0670261605694353	0.0319676379753788	0.681065286559314	0.964003312461688	0.380924974600497	0.208012077876518	0.613600566264462	0.423527865829847	0.988090711605144	0.876849148569695	0.218751276056656
Alanine	Coronary Artery Disease (CAD)	0.0418890668975512	0.0551618698837775	0.37752469350301	0.191251955711057	0.333794589511832	0.141304797596351	0.297103072634803	0.180874528469007	0.6364411103166	0.480578816056736	0.218751276056656
Albumin	Coronary Artery Disease (CAD)	0.666853259691798	0.0454928328774835	0.651064934657447	0.843513758864419	0.311497651541294	0.0864575646597062	0.979936896387263	0.980384356366608	0.388628977234895	0.138986739425856	0.780071580358157
Apolipoprotein B	Coronary Artery Disease (CAD)	0.0470532662840635	0.0811631568729908	0.427155820137896	0.258325854357215	0.540124610548095	0.999998231813072	0.979936896387263	0.248757925089964	0.999999999973499	0.928110935759687	0.999999999999984
3-hydroxybutyrate	Coronary Artery Disease (CAD)	0.0489137971641627	0.174570620125312	0.381833986418888	0.403284714265736	0.509382377630366	0.999921366785598	0.308665648774049	0.145654006041528	0.0912283765775448	0.276609097150567	0.864110297536066
Citrate	Coronary Artery Disease (CAD)	0.0532281987660955	0.0406390516185307	0.552986258763998	0.476965539169096	0.29449466976583	0.201212987221965	0.87519671270927	0.742135010643364	0.0912283765775448	0.138986739425856	0.21515472641533
Creatinine	Coronary Artery Disease (CAD)	0.106409301965542	0.637376561368279	0.999999126845395	0.999999996171073	0.999999999947426	0.999999999999967	0.999896995262982	0.999104601266254	0.999999996528089	0.999969103898809	0.218751276056656
Glutamine	Coronary Artery Disease (CAD)	0.245783635835901	0.029169414760355	0.378959599736883	0.319616023627152	0.312810934016455	0.298594675539315	0.935503161937826	0.902779025354673	0.95908848294229	0.983053097354242	0.218751276056656
Glucose	Coronary Artery Disease (CAD)	0.681204898398973	0.0269346609688641	0.43273793130786	0.521031679816742	0.312650829218214	0.823744891351274	0.99649743783303	0.917776238667614	0.999924595021361	0.96358493313949	0.844489683067405
Glycine	Coronary Artery Disease (CAD)	0.321433384099306	0.585302813074615	0.911387379791786	0.999997122987153	0.999089204113274	0.99971917505242	0.999999931390367	0.999852539489433	0.999923575049429	0.993067780738713	0.864110297536066
Glycoprotein acetylation	Coronary Artery Disease (CAD)	0.101322564586716	1	0.999990496795455	0.999805104917201	0.999999999981693	0.999999999981485	0.999248197132344	0.999994357783815	0.999999999994658	0.999999911972107	0.8439349070914
Histidine	Coronary Artery Disease (CAD)	0.0704106063049306	0.0677744465065383	0.377761352412109	0.171406311437592	0.301132463431063	0.0997161402341333	0.694036052172099	0.742135010643364	0.441090313170516	0.276609097150567	0.08140847862917
Isoleucine	Coronary Artery Disease (CAD)	0.103142892118022	0.0273375757197586	0.682856491887717	0.9989820098332	0.292540964677903	0.113549999327711	0.649868236882631	0.420865206051613	0.0912283765775448	0.138986739425856	0.844489683067405
Lactate	Coronary Artery Disease (CAD)	0.27098030660154	0.222863439060498	0.471817562982281	0.539652706336683	0.64564695561912	0.999995039905811	0.868772567818078	0.86827493757673	0.744887999158933	0.653091263643524	0.864110297536066
Leucine	Coronary Artery Disease (CAD)	0.0599744360185114	0.0269373813645283	0.611743605090518	0.19846912427776	0.294860435275897	0.193578831526338	0.0702664554396999	0.319549238541216	0.632740739472485	0.138986739425856	0.798127501499608
Phenylalanine	Coronary Artery Disease (CAD)	0.094548248916614	0.0293923574574483	0.662793514061671	0.922300702753499	0.292547978308205	0.102016128287146	0.979936896387263	0.953789870848712	0.0864573574286758	0.353927853624626	0.218751276056656
Polyunsaturated Fatty Acids (PUFA)	Coronary Artery Disease (CAD)	0.381483747081762	0.0336320414955698	0.999999999999982	1	0.99394215308931	0.999999993744327	0.999999999999982	0.999994357783815	0.98382640310837	0.878648700748429	0.981932178726479
Pyruvate	Coronary Artery Disease (CAD)	0.0477269188842514	0.0279800581839064	0.418393655003189	0.420154390172709	0.293546155347738	0.10629581516945	0.674968684492467	0.863650984499553	0.839912959394346	0.867472207679769	0.08140847862917
Tyrosine	Coronary Artery Disease (CAD)	0.0414448266342279	0.26322657053121	0.37758557765532	0.441683664726015	0.610843701695463	0.999916722997288	0.434165033932636	0.667811521714209	0.91960352789271	0.8932462303473	0.219978019315787
Valine	Coronary Artery Disease (CAD)	0.0862444923387312	0.0293260991915575	0.532052474118353	0.164551438252065	0.318915817988052	0.212269633284657	0.308665648774049	0.208183515458006	0.0912283765775448	0.138986739425856	0.84557824685424
Birth Weight (BW)	Stroke	0.0675853064400417	0.0510651403537201	0.591313494301459	0.0577081584111445	0.53490735086236	0.0379720132161777	0.00878732415633654	0.0147622491357192	0.0320472424200272	0.0613587620067961	0.414747730789066
Body Mass Index	Stroke	0.664527790079788	0.244640849823439	0.699698821627895	0.319595360813217	0.63556922003163	0.252500487696921	0.920004698623964	0.874914428173728	0.163196184865949	0.149487196681637	0.997406076078321
High Density Lipoprotein (HDL)	Stroke	0.0476831887112558	0.0476928369643602	0.596023802442348	0.0439609490864802	0.494608291612321	0.0308881655876195	0.310474583450465	0.322344544492945	0.163196184865949	0.149487196681637	0.864159114775639
Low Density Lipoprotein (LDL)	Stroke	0.398573680414386	0.0667654378026697	0.652348954149472	0.112276983396569	0.576712492847161	0.0738717713509356	0.465679737687384	0.386436106115819	0.0737162341638746	0.0613587620067961	0.990373282890939
Triglycerides	Stroke	0.0457417749718365	0.0354116072358377	0.562112358845933	0.0235096366840771	0.474624576835683	0.0161303514804712	0.310474583450465	0.386436106115819	0.251661278790246	0.256662354328605	0.414747730789066
Height	Stroke	0.118580202711469	0.15503600179109	0.558807705905495	0.0230454773029691	0.480653678682644	0.0153882601591595	0.944550962372876	0.64690646070161	0.904636725182008	0.354479679405569	0.440475554850624
Body Fat	Stroke	0.11170006397438	0.0939100050933881	0.683205374214872	0.165707866472297	0.607013632381906	0.125296492755897	0.462582411896934	0.435468890441564	0.00935493575525081	0.0613587620067961	0.414747730789066
Fasting Glucose	Stroke	0.0479540953441412	0.0517210967547542	0.665283295598022	0.194708313691739	0.571004561652518	0.138147498587756	0.310474583450465	0.386436106115819	0.00935493575525081	0.0613587620067961	0.440475554850624
Systolic Blood Pressure	Stroke	1	0.553269719011097	0.961456926756503	1	0.479357339402499	1	1	0.999999967471156	0.163196184865949	0.0613587620067961	1
Diastolic Blood Pressure	Stroke	0.34001624992406	0.657065082096248	0.750277127131784	0.0610682336744081	0.476569914336015	0.0365236222441028	0.989024683509599	0.99329880848477	0.904636725182008	0.354479679405569	1
Smoking	Stroke	0.575801474328867	0.318060502605831	0.906629778802593	0.967616326735384	0.755685971973323	0.954123678896933	0.999461279838499	0.99957489317085	0.446358515114695	0.407872581834451	0.996485927233143
Alcohol	Stroke	0.0457505857822408	0.0361142518887472	0.560049279310364	0.0458424381406669	0.477336492574983	0.0302352948542776	0.00878732415633654	0.0188378999543667	0.163196184865949	0.0613587620067961	0.914813728720243
Acetate	Stroke	0.116270689153321	0.0612486291974773	0.783147028640414	0.778331299766333	0.69884426963537	0.705364138967318	0.141378354070265	0.0557867824465326	0.0737162341638746	0.0613587620067961	0.414747730789066
Acetone	Stroke	0.0580237950390399	0.0348389813163084	0.553047580455387	0.0246721620584368	0.474661827279963	0.0152949706682104	0.00878732415633654	0.0188378999543667	0.00935493575525081	0.0613587620067961	0.414747730789066
Alanine	Stroke	0.045565809625865	0.0402199382727557	0.555299315819846	0.0218814695780735	0.480067698567733	0.0141134505615971	0.607732781468942	0.386436106115819	0.446358515114695	0.256662354328605	0.339859688648256
Albumin	Stroke	0.119156916517767	0.179751245064355	0.645569320141059	0.113233339270271	0.564343853143864	0.0899874619019674	0.940156441310546	0.874914428173728	0.45921600093143	0.407872581834451	0.346708309447773
Apolipoprotein B	Stroke	0.0950343517490811	0.0367393877896018	0.557784377202216	0.0249952911181279	0.495963261771122	0.0144568609925397	0.677604404918143	0.862860253646113	0.904636725182008	0.81483105923728	0.859248499657683
3-hydroxybutyrate	Stroke	0.0503546805622841	0.0432173289606745	0.562838506983448	0.0276308620575769	0.489498528681708	0.0186251549634711	0.287707626096225	0.214684120953123	0.223659216221078	0.256662354328605	0.346708309447773
Citrate	Stroke	0.0491052113849026	0.0354717107457075	0.553048547548234	0.0212893711549444	0.474803144635442	0.0129795297719424	0.00878732415633654	0.0188378999543667	0.00935493575525081	0.0613587620067961	0.414747730789066
Creatinine	Stroke	0.106280787156043	0.0369320291252269	0.55306611570865	0.0225395267425085	0.474833629143727	0.014283922547832	0.574047525942613	0.477568064845878	0.446358515114695	0.256662354328605	0.414747730789066
Glutamine	Stroke	0.0586051003416886	0.0439873278041372	0.689023266723441	0.133453987896795	0.567319253946645	0.105697295284069	0.124000272697171	0.322344544492945	0.104268908594746	0.0613587620067961	0.00757092079049404
Glucose	Stroke	0.0475948426610437	0.0347976886254987	0.553108957091233	0.0231255968896631	0.474611454288611	0.0147491060709153	0.287707626096225	0.214684120953123	0.446358515114695	0.256662354328605	0.414747730789066
Glycine	Stroke	0.0531706546853917	0.105095556466987	0.735282034772691	0.485503996686129	0.626006311962286	0.393106946326896	0.616778131843401	0.705433034209115	0.251661278790246	0.256662354328605	0.127527061959196
Glycoprotein acetylation	Stroke	0.0789773972665914	0.0433118832553934	0.553398823773455	0.0219026656772944	0.481963322782184	0.0139687153083861	0.244346850383897	0.322344544492945	0.104268908594746	0.247992365068651	0.0256565072516762
Histidine	Stroke	0.0797677637075064	0.0351454223895656	0.601447275872284	0.0451507933692008	0.506035170284849	0.0317917061075674	0.00219546559870698	0.0188378999543667	0.163196184865949	0.0804372882345116	0.414747730789066
Isoleucine	Stroke	0.0571686199877005	0.0406770348156124	0.554594148499144	0.0300848159312145	0.475301498856892	0.0208594484811667	0.462582411896934	0.386436106115819	0.223659216221078	0.149487196681637	0.440475554850624
Lactate	Stroke	0.0464543136051	0.0354547249074812	0.554716413407582	0.0302155440559433	0.483350873061064	0.0189874815614746	0.00219546559870698	0.0147622491357192	0.251661278790246	0.256662354328605	0.440475554850624
Leucine	Stroke	0.0663630275198099	0.062359090726065	0.593563808098475	0.066904658490794	0.512057248539894	0.0479459804446717	0.124000272697171	0.121308222280365	0.0255681307257423	0.0613587620067961	0.414747730789066
Phenylalanine	Stroke	0.234858561440415	0.0500669715779734	0.610307695392046	0.100936938134517	0.529970944549127	0.0703302328798959	0.244346850383897	0.0650217056321367	0.163196184865949	0.0613587620067961	0.414747730789066
Polyunsaturated Fatty Acids (PUFA)	Stroke	0.0754198875763695	0.122098936466673	0.695820190308137	0.277527639153274	0.607486611232839	0.189712548656808	0.921745951982852	0.944821097136858	0.446358515114695	0.746053360067288	0.414747730789066
Pyruvate	Stroke	0.195094632358213	0.0671026735346999	0.568410296723869	0.0267872909676736	0.485647598975976	0.0179523692344844	0.947423082326825	0.918105852602676	0.446358515114695	0.256662354328605	0.422524642302914
Tyrosine	Stroke	0.045477316853884	0.0646088812817889	0.633778676859635	0.121232106426518	0.55181039974909	0.0858970516416255	0.244346850383897	0.0188378999543667	0.223659216221078	0.126497846231098	0.346708309447773
