Exposure	Outcome	famr_none	famr_gfa	susie.ss	mrash.ss	susie.ss_gfa	mrash.ss_gfa	ivw	robust	ivw_gfa	robust_gfa	ivw.univar
Valine	Stroke	0.0701757749628321	0.0769628332685571	0.612435479795009	0.09062647738047	0.525956908630219	0.0641548771705296	0.920004698623964	0.918105852602676	0.904636725182008	0.816887811780247	0.440475554850624
Birth Weight (BW)	Asthma	0.00871767671359791	0.0175359426241478	0.695664588818656	1.06505433340454e-05	0.350437858313341	1.68102264719305e-06	0.16822044629432	0.127616851492521	0.0801772780538945	0.0924348609859078	0.113217622923811
Body Mass Index	Asthma	0.214900463235965	0.121752659042363	0.671163593813604	8.5780403965563e-06	0.315160285306059	1.35358755248838e-06	0.841844190776748	0.846077487276142	0.34590477079863	0.183513888466553	0.113217622923811
High Density Lipoprotein (HDL)	Asthma	0.0192213009426961	0.00706736438735212	0.604839643048256	5.56195007050952e-07	0.231802867114128	8.81416977183136e-08	0.16822044629432	0.127616851492521	0.0801772780538945	0.0924348609859078	0.0762742225307651
Low Density Lipoprotein (LDL)	Asthma	0.0107380958671668	0.0233599094986442	0.673363698294579	3.91889093853681e-06	0.317741565085294	6.20361321757024e-07	0.207710920821873	0.204289638651768	0.34590477079863	0.183513888466553	0.0594927020149782
Triglycerides	Asthma	0.0101741289801197	0.0071022342771544	0.605356686449422	5.62223685496299e-07	0.232514870716117	8.90927240870809e-08	0.16822044629432	0.0163143846580087	0.0581995518583156	0.0233532688320371	0.113217622923811
Height	Asthma	0.0111412913894259	0.00976367875287742	0.605063267989578	6.63882704365903e-07	0.231932499303419	1.05181365728235e-07	0.16822044629432	0.0900316710868069	0.0801772780538945	0.0805137143897077	0.113217622923811
Body Fat	Asthma	0.0577180987794408	0.19067880272355	0.782428616768693	0.00011235264191467	0.499364784009998	1.7728041110443e-05	0.392601111112463	0.42127342389733	0.34590477079863	0.183513888466553	0.113217622923811
Fasting Glucose	Asthma	0.0237169803472388	0.00707031554452897	0.60690950127216	1.13856952377311e-06	0.234297225064887	1.80227611279449e-07	0.16822044629432	0.127616851492521	0.0801772780538945	0.0924348609859078	0.113217622923811
Systolic Blood Pressure	Asthma	0.0227040226657416	0.0104811882747782	0.631118539991637	2.13796941928024e-07	0.264164947813811	3.38973246138963e-08	0.082462035431517	0.0413773051142132	0.0581995518583156	0.0233532688320371	0.113217622923811
Diastolic Blood Pressure	Asthma	0.0131256482537717	0.0148685076824535	0.655690705258563	7.34666335544532e-07	0.294794091415293	1.16474579869852e-07	0.16822044629432	0.0413773051142132	0.0801772780538945	0.0233532688320371	0.0594927020149782
Smoking	Asthma	0.0156428635557568	0.00758822833056805	0.621769912500302	1.6933592722479e-06	0.253200369092872	2.67943037979279e-07	0.16822044629432	0.127616851492521	0.0801772780538945	0.0805137143897077	0.113217622923811
Alcohol	Asthma	0.00935329174104427	0.00707369631117483	0.606394008909925	1.7611412445051e-06	0.234143605850122	2.78073626902575e-07	0.16822044629432	0.0163143846580087	0.0581995518583156	0.0233532688320371	0.03666320206336
Acetate	Asthma	0.0145135841017985	0.0171264552807485	0.634151984869828	3.27291741031299e-06	0.265362083324467	5.17613401251893e-07	0.16822044629432	0.127616851492521	0.0801772780538945	0.0233532688320371	0.0594927020149782
Acetone	Asthma	0.0108081887388007	0.0170351530241821	0.685481811834244	1.06080287252119e-05	0.331779128645538	1.67468437273222e-06	0.16822044629432	0.127616851492521	0.0801772780538945	0.0924348609859078	0.113217622923811
Alanine	Asthma	0.0129139338881841	0.00709399476621386	0.61072913219574	1.0657475919551e-06	0.237871532418351	1.6877283370853e-07	0.16822044629432	0.0413773051142132	0.0801772780538945	0.0924348609859078	0.0505662911540824
Albumin	Asthma	0.0646271354241631	0.0348771796174042	0.669253822553984	6.62398028261624e-06	0.308733362639747	1.04666477784843e-06	0.207710920821873	0.42127342389733	0.0801772780538945	0.0924348609859078	0.113217622923811
Apolipoprotein B	Asthma	0.00853187653390408	0.00706983305118181	0.609626942896179	1.01242048511363e-06	0.238286620504248	1.60348431310631e-07	0.16822044629432	0.0413773051142132	0.0801772780538945	0.0233532688320371	0.0594927020149782
3-hydroxybutyrate	Asthma	0.0248874941075263	0.00739764633168272	0.604929356526592	7.299005253536e-07	0.231886524558696	1.15626034302707e-07	0.16822044629432	0.127616851492521	0.0801772780538945	0.0805137143897077	0.0913188520467186
Citrate	Asthma	0.0259225935260656	0.00870773010291814	0.604921078098256	8.31966858072519e-07	0.231856799894889	1.31783506107652e-07	0.16822044629432	0.127616851492521	0.0801772780538945	0.0924348609859078	0.0594927020149782
Creatinine	Asthma	0.0281747346651234	0.00738839031712435	0.615624972453767	1.38643117897352e-06	0.242656345217345	2.19451778527002e-07	0.16822044629432	0.0163143846580087	0.0323319587112785	0.0233532688320371	0.0594927020149782
Glutamine	Asthma	0.00856443822475184	0.0252643116282475	0.64061046378393	3.61036978147045e-06	0.272231155717497	5.7098843364578e-07	0.16822044629432	0.127616851492521	0.0801772780538945	0.0924348609859078	0.0594927020149782
Glucose	Asthma	0.0734995058795781	0.00746622349447679	0.615209505772305	1.33524604983837e-06	0.24268161822678	2.11400660199423e-07	0.16822044629432	0.127616851492521	0.0801772780538945	0.0924348609859078	0.113217622923811
Glycine	Asthma	0.00877930006152128	0.00739056079641609	0.630263291820566	1.51257783920222e-06	0.26132802748498	2.39450088090898e-07	0.16822044629432	0.127616851492521	0.0801772780538945	0.0924348609859078	0.113217622923811
Glycoprotein acetylation	Asthma	0.00879482505335571	0.0181244441451592	0.690976576632013	1.02740802230272e-05	0.34171949480912	1.62289638272473e-06	0.16822044629432	0.0413773051142132	0.0581995518583156	0.0233532688320371	0.0762742225307651
Histidine	Asthma	0.0114953617408182	0.0300886279381136	0.709622699667262	2.03115924980457e-05	0.370893418613823	3.20308886869736e-06	0.16822044629432	0.11621710652597	0.0801772780538945	0.0924348609859078	0.0594927020149782
Isoleucine	Asthma	0.011634967895081	0.00706766074105425	0.604964870530005	7.39529404714112e-07	0.231811182888174	1.1714767422788e-07	0.16822044629432	0.127616851492521	0.0801772780538945	0.0924348609859078	0.113217622923811
Lactate	Asthma	0.0160831438758569	0.00781678496533866	0.605329173008636	8.41600435452783e-07	0.232267903154972	1.3330429859959e-07	0.16822044629432	0.127616851492521	0.0581995518583156	0.00620886047283664	0.0762742225307651
Leucine	Asthma	0.00977263076836088	0.00710293370100068	0.609439460048852	1.1678136692117e-06	0.237990479717361	1.84905448064043e-07	0.16822044629432	0.127616851492521	0.0581995518583156	0.0805137143897077	0.0913188520467186
Phenylalanine	Asthma	0.00912480349374856	0.00710539319488868	0.606636382148568	7.69248572618508e-07	0.233144019102634	1.21852251955268e-07	0.16822044629432	0.0163143846580087	0.0801772780538945	0.0805137143897077	0.0594927020149782
Polyunsaturated Fatty Acids (PUFA)	Asthma	0.00861059812169951	0.00771291360687432	0.625794316770759	1.69941185779177e-06	0.256869283247866	2.6899949667758e-07	0.16822044629432	0.127616851492521	0.0801772780538945	0.0924348609859078	0.0594927020149782
Pyruvate	Asthma	0.031325188961975	0.00829712136806204	0.611300958533387	1.01572563371288e-06	0.239265578692793	1.60854909947439e-07	0.16822044629432	0.127616851492521	0.132869067271098	0.161973706312521	0.113217622923811
Tyrosine	Asthma	0.0215788882906813	0.00719835092309029	0.611198532634043	1.10779438133868e-06	0.239768382106125	1.75428890303309e-07	0.16822044629432	0.0163143846580087	0.0581995518583156	0.0495868884624394	0.113217622923811
Valine	Asthma	0.0105345215005737	0.00720453082804851	0.606089408721797	7.65421122039811e-07	0.232621380121498	1.2124631165733e-07	0.16822044629432	0.0163143846580087	0.0581995518583156	0.0233532688320371	0.03666320206336
Birth Weight (BW)	Type 2 Diabetes	0.490028379922106	0.428485684272016	0.591101706103941	0.358431981175694	0.533396311571912	0.228752578465464	0.995597837973607	0.9922211895128	0.985760253587524	0.985047177626834	0.968902498547531
Body Mass Index	Type 2 Diabetes	0.716954247344659	0.734135719269333	1	1	0.999999999999988	1	1	1	0.999999999385157	0.999999999562267	0.998832329407888
High Density Lipoprotein (HDL)	Type 2 Diabetes	0.289537741349293	0.268692576603807	0.999918086306452	0.999996758720366	0.998455099057036	0.999994307138318	0.987036314584907	0.946420936247947	0.38096113885821	0.207729289479264	0.98272811991047
Low Density Lipoprotein (LDL)	Type 2 Diabetes	0.290914553674386	0.999999995050841	0.888790396895399	0.999852476545453	0.998644617134114	0.999755188280803	0.995994182612366	0.950694281543568	0.999337505692178	0.988287134597917	0.756270645972685
Triglycerides	Type 2 Diabetes	0.676852968831118	0.144765570135746	0.999999727393514	0.999999995292909	0.999986635334912	0.999999990795533	0.999999999995749	0.999999998903394	0.999527154127143	0.992693807370136	0.39407965319781
Height	Type 2 Diabetes	0.241739562251258	0.606311247549072	0.860909313064855	0.998893495876203	0.835339258031513	0.998056765360514	0.994646456541917	0.965144042577015	0.979618397009989	0.909323270985601	0.0911412739802747
Body Fat	Type 2 Diabetes	0.213217800613527	0.604586894682469	0.510487051723517	0.165753772473772	0.456357857021593	0.0954767616583865	0.589742394597584	0.512075861873476	0.848242795771437	0.798667960515166	0.858714180030879
Fasting Glucose	Type 2 Diabetes	0.999999999723351	0.578643269853597	0.999418575181737	0.999941232053354	0.999099771030286	0.999904941361956	0.999999999998485	0.999999612574876	0.999999998625809	0.999980621296826	0.962728738165457
Systolic Blood Pressure	Type 2 Diabetes	0.99999997016979	0.276237702952476	0.999951453878569	0.999984758369971	0.992876335360303	0.999977569219307	0.999701193841196	0.993739140297102	0.950229532638323	0.909323270985601	0.999994315145433
Diastolic Blood Pressure	Type 2 Diabetes	0.327741808245554	0.232432225688751	0.507038527417238	0.0398426197135466	0.442549758339595	0.0211762165959698	0.575253200983379	0.196652677962006	0.795493483059606	0.23967329372041	0.997752091990102
Smoking	Type 2 Diabetes	0.445109728321496	0.263346798701934	0.506242173861672	0.231182136062785	0.445924022475372	0.137242648375181	0.986182585818812	0.964439780459931	0.928359426739465	0.715292411001545	0.968902498547531
Alcohol	Type 2 Diabetes	0.139090263554646	0.148913778635796	0.477408043678541	0.214819313614924	0.416466307806868	0.130240208609686	0.35294177187319	0.244223458478263	0.161940418750856	0.0269904221543074	0.103158443569604
Acetate	Type 2 Diabetes	0.152059396322011	0.144776795879327	0.452709070960948	0.0762802180591344	0.397129672050755	0.0439252547946072	0.183780210913457	0.0843507247886227	0.640166179496993	0.63180299023916	0.316546293310285
Acetone	Type 2 Diabetes	0.263797738591616	0.14355924458889	0.452019194324556	0.083720938158504	0.396876453035734	0.0486915081315401	0.020005863231374	0.256894421825608	0.333812335743072	0.118609989914811	0.39407965319781
Alanine	Type 2 Diabetes	0.513047721534139	0.348632799151776	0.752981984837908	0.770833526561215	0.7034485192506	0.622061817176787	0.987036314584907	0.846989428972438	0.744873628956095	0.484576840707249	0.858714180030879
Albumin	Type 2 Diabetes	0.217208698188087	0.35486788547507	0.587074872553984	0.40576071492974	0.537421601476866	0.289793527842133	0.213905205211615	0.0654354864949451	0.781783807173808	0.771390180787612	0.122170885998416
Apolipoprotein B	Type 2 Diabetes	0.6181548009136	0.188042168505408	0.526535736420477	0.175539021697745	0.435717051416351	0.125010554304078	0.124152857508293	0.299123145699443	0.536610627053234	0.771390180787612	0.930856780838658
3-hydroxybutyrate	Type 2 Diabetes	0.270883072363515	0.138762234845196	0.467177437087925	0.0881270909933181	0.411109317153193	0.0492501816276566	0.445927163162384	0.0654354864949451	0.0674201386681957	0.0269904221543074	0.027184498660743
Citrate	Type 2 Diabetes	0.18928334653985	0.212899823889737	0.641814194952934	0.81282847276391	0.579940030607521	0.777707170184497	0.866903621724653	0.912842580260394	0.904284129253327	0.904764968538782	0.39407965319781
Creatinine	Type 2 Diabetes	0.140640598095502	0.359822862105095	0.460182301255445	0.0939917725995968	0.403173978870381	0.0526990260928495	0.560717325099532	0.602803380791561	0.744873628956095	0.715292411001545	0.122170885998416
Glutamine	Type 2 Diabetes	0.14377452009493	0.286961161790795	0.7700468811511	0.996475977642014	0.705873611899855	0.991450722807444	0.575253200983379	0.608205252428242	0.278348071199212	0.0269904221543074	0.103158443569604
Glucose	Type 2 Diabetes	0.288208870298384	0.333568986232175	0.721038306642238	0.72428335180769	0.662897449727886	0.465236933598603	0.99971846995224	0.980418522589814	0.996836306658878	0.982083002359778	0.904488310439197
Glycine	Type 2 Diabetes	0.405834994323963	0.18193339163182	0.528570571921603	0.107319296804381	0.462397256350534	0.0586259496197679	0.906460524591644	0.802883516886901	0.536610627053234	0.213874259720163	0.39407965319781
Glycoprotein acetylation	Type 2 Diabetes	0.207934017384098	0.274329890543034	0.452562937706772	0.202378407671353	0.397537088368213	0.0998593608938239	0.213905205211615	0.0582891640469335	0.0594231572620375	0.0269904221543074	0.0911412739802747
Histidine	Type 2 Diabetes	0.139525860448202	0.141933743859204	0.46872142432844	0.128055876301154	0.4122876040827	0.0762399573750435	0.40099465377519	0.299123145699443	0.278348071199212	0.0269904221543074	0.756270645972685
Isoleucine	Type 2 Diabetes	0.292908338451872	0.15396315853148	0.539440676669791	0.0787547781917609	0.473480611949876	0.0463997191853774	0.445927163162384	0.344967440351748	0.0101485639732657	0.0269904221543074	0.39407965319781
Lactate	Type 2 Diabetes	0.143122011022891	0.222552929556345	0.607238290913475	0.416657972240472	0.53323817337189	0.178805864122568	0.999249469046427	0.993739140297102	0.956616453032495	0.778700346681523	0.206142157663297
Leucine	Type 2 Diabetes	0.299664825636401	0.171567160931285	0.476834232971461	0.145124526248039	0.42055660718805	0.0817857966423535	0.40099465377519	0.608205252428242	0.731799681809214	0.824160379439549	0.802948668406296
Phenylalanine	Type 2 Diabetes	0.277875906712007	0.194965271629216	0.475151023106334	0.0824052983020435	0.414723190524515	0.0443021613820205	0.55743065419398	0.510745440863258	0.248728915611413	0.105625578061851	0.0911412739802747
Polyunsaturated Fatty Acids (PUFA)	Type 2 Diabetes	0.173974950015848	0.208145139338603	0.50712849871948	0.335059646814252	0.42897733858631	0.187203958971897	0.910744970711536	0.872978375644632	0.536610627053234	0.23967329372041	0.651095888847603
Pyruvate	Type 2 Diabetes	0.137864491164486	0.240360029223506	0.474256097393782	0.237056507727565	0.411900112644085	0.110510629594554	0.995994182612366	0.982181452521764	0.990000572346874	0.991705093049716	0.0911412739802747
Tyrosine	Type 2 Diabetes	0.163292844513239	0.377367801539808	0.474449969730136	0.358685340169891	0.415496499950333	0.184944492184821	0.906460524591644	0.812001554938492	0.993015224937774	0.96189155488431	0.316546293310285
Valine	Type 2 Diabetes	0.715870833423173	0.155259764127899	0.759123058718244	0.996627711486007	0.683205687388628	0.994278779098859	0.91121010836057	0.972141329769586	0.536610627053234	0.771390180787612	0.786632062940093
